Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date										
B4	Amygdalin		0.354		4084		7/20/2016										
B5	D-Arabinose		0.489		4084		7/20/2016										
B6	D-Arabitol		0.481		4084		7/20/2016										
B7	L-Arabitol		0.374		4084		7/20/2016										
B8	Arbutin		0.419		4084		7/20/2016										
B9	2-Deoxy-D-Ribose		0.347		4084		7/20/2016										
B10	I-Erythritol		0.371		4084		7/20/2016										
B11	D-Fucose		0.443		4084		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.266		4084		7/20/2016										
C1	Gentiobiose		0.379		4084		7/20/2016										
C2	L-Glucose		0.445		4084		7/20/2016										
C3	Lactitol		0.385		4084		7/20/2016										
C4	D-Melezitose		0.375		4084		7/20/2016										
C5	Maltitol		0.378		4084		7/20/2016										
C6	a-Methyl-D-Glucoside		0.364		4084		7/20/2016										
C7	b-Methyl-D-Gactoside		0.382		4084		7/20/2016										
C8	3-Methyl-Glucose		0.313		4084		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.364		4084		7/20/2016										
C10	a-Methyl-D-Mannoside		0.396		4084		7/20/2016										
C11	b-Methyl-D-Xyloside		0.389		4084		7/20/2016										
C12	Palatinose		0.447		4084		7/20/2016										
D1	D-Raffinose		0.401		4084		7/20/2016										
D2	Salicin		0.341		4084		7/20/2016										
D3	Sedoheptulosa		0.367		4084		7/20/2016										
D4	L-Sorbose		0.378		4084		7/20/2016										
D5	Stachyose		0.355		4084		7/20/2016										
D6	D-Tagatose		0.416		4084		7/20/2016										
D7	Turanose		0.352		4084		7/20/2016										
D8	Xylitol		0.382		4084		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.315		4084		7/20/2016										
D10	g-Amino Butyric Acid		0.37		4084		7/20/2016										
D11	d-Amino Valeric Acid		0.356		4084		7/20/2016										
D12	Butyric Acid		0.579		4084		7/20/2016										
E1	Capric Acid		0.371		4084		7/20/2016										
E2	Caproic Acid		0.357		4084		7/20/2016										
E3	Citraconic Acid		0.604		4084		7/20/2016										
E4	Citramalic Acid		0.416		4084		7/20/2016										
E5	D-Glucosamine		0.323		4084		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.534		4084		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.331		4084		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.448		4084		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.474		4084		7/20/2016										
E10	a-Keto Valeric Acid		0.458		4084		7/20/2016										
E11	Itaconic Acid		0.57		4084		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.409		4084		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.391		4084		7/20/2016										
F2	Malonic Acid		0.448		4084		7/20/2016										
F3	Melibionic Acid		0.173		4084		7/20/2016										
F4	Oxalic Acid		0.274		4084		7/20/2016										
F5	Oxalomalic Acid		0.407		4084		7/20/2016										
F6	Quinic Acid		0.357		4084		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.336		4084		7/20/2016										
F8	Sebacic Acid		0.327		4084		7/20/2016										
F9	Sorbic Acid		0.33		4084		7/20/2016										
F10	Succinamic Acid		0.286		4084		7/20/2016										
F11	D-Tartaric Acid		0.567		4084		7/20/2016										
F12	L-Tartaric Acid		0.471		4084		7/20/2016										
G1	Acetamide		0.387		4084		7/20/2016										
G2	L-Alaninamide		0.333		4084		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.401		4084		7/20/2016										
G4	L-Arginine		0.567		4084		7/20/2016										
G5	Glycine		0.439		4084		7/20/2016										
G6	L-Histidine		0.457		4084		7/20/2016										
G7	L-Homoserine		0.168		4084		7/20/2016										
G8	Hydroxy-L-Proline		0.519		4084		7/20/2016										
G9	L-Isoleucine		0.633		4084		7/20/2016										
G10	L-Leucine		0.387		4084		7/20/2016										
G11	L-Lysine		0.618		4084		7/20/2016										
G12	L-Methionine		0.506		4084		7/20/2016										
H1	L-Ornithine		0.641		4084		7/20/2016										
H2	Phenylalanine		0.369		4084		7/20/2016										
H3	L-Pyroglutamic Acid		0.451		4084		7/20/2016										
H4	L-Valine		0.461		4084		7/20/2016										
H5	"D,L-Carnitine"		0.435		4084		7/20/2016										
H6	Sec-Butylamine		0.444		4084		7/20/2016										
H7	"D,L-Octopamine"		0.409		4084		7/20/2016										
H8	Putrescine		0.421		4084		7/20/2016										
H9	Dihydroxy Acetone		0.451		4084		7/20/2016										
H10	"2,3-Butanediol"		0.435		4084		7/20/2016										
H11	"2,3-Butanone"		0.344		4084		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.42		4084		7/20/2016										
A1	Negative Control		0.355		3508		7/20/2016										
A2	L-Arabinose		0.48		3508		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.246		3508		7/20/2016										
A4	D-Saccharic Acid		0.499		3508		7/20/2016										
A5	Succinic Acid		0.405		3508		7/20/2016										
A6	D-Galactose		0.451		3508		7/20/2016										
A7	L-Aspartic Acid		0.542		3508		7/20/2016										
A8	L-Proline		0.405		3508		7/20/2016										
A9	D-Alanine		0.416		3508		7/20/2016										
A10	D-Trehalose		0.332		3508		7/20/2016										
A11	D-Mannose		0.517		3508		7/20/2016										
A12	Dulcitol		0.348		3508		7/20/2016										
B1	D-Serine		0.443		3508		7/20/2016										
B2	D-Sorbitol		0.372		3508		7/20/2016										
B3	Glycerol		0.353		3508		7/20/2016										
B4	L-Fucose		0.376		3508		7/20/2016										
B5	D-Glucuronic Acid		0.363		3508		7/20/2016										
B6	D-Gluconic Acid		0.508		3508		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.312		3508		7/20/2016										
B8	D-Xylose		0.529		3508		7/20/2016										
B9	L-Lactic Acid		0.39		3508		7/20/2016										
B10	Formic Acid		0.43		3508		7/20/2016										
B11	D-Mannitol		0.548		3508		7/20/2016										
B12	L-Glutamic Acid		0.405		3508		7/20/2016										
C1	D-Glucose-6-Phosphate		0.448		3508		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.463		3508		7/20/2016										
C3	"D,L-Malic Acid"		0.399		3508		7/20/2016										
C4	D-Ribose		0.451		3508		7/20/2016										
C5	Tween 20		0.027		3508		7/20/2016										
C6	L-Rhamnose		0.376		3508		7/20/2016										
C7	D-Fructose		0.391		3508		7/20/2016										
C8	Acetic Acid		0.445		3508		7/20/2016										
C9	a-D-Glucose		0.476		3508		7/20/2016										
C10	Maltose		0.352		3508		7/20/2016										
C11	D-Melibiose		0.372		3508		7/20/2016										
C12	Thymidine		0.367		3508		7/20/2016										
D1	L-Asparagine		0.422		3508		7/20/2016										
D2	D-Aspartic Acid		0.412		3508		7/20/2016										
D3	D-Glucosaminic Acid		0.49		3508		7/20/2016										
D4	"1,2-Propanediol"		0.319		3508		7/20/2016										
D5	Tween 40		0.248		3508		7/20/2016										
D6	a-Keto-Glutaric Acid		0.342		3508		7/20/2016										
D7	a-Keto-Butyric Acid		0.463		3508		7/20/2016										
D8	a-Methyl-D-Galactoside		0.322		3508		7/20/2016										
D9	a-D-Lactose		0.337		3508		7/20/2016										
D10	Lactulose		0.341		3508		7/20/2016										
D11	Sucrose		0.378		3508		7/20/2016										
D12	Uridine		0.239		3508		7/20/2016										
E1	L-Glutamine		0.433		3508		7/20/2016										
E2	M-Tartaric Acid		0.653		3508		7/20/2016										
E3	D-Glucose-1-Phosphate		0.366		3508		7/20/2016										
E4	D-Fructose-6-Phosphate		0.357		3508		7/20/2016										
E5	Tween 80		0.017		3508		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.327		3508		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.588		3508		7/20/2016										
E8	b-Methyl-D-Glucoside		0.37		3508		7/20/2016										
E9	Adonitol		0.365		3508		7/20/2016										
E10	Maltotriose		0.354		3508		7/20/2016										
E11	2-Deoxy Adenosine		0.326		3508		7/20/2016										
E12	Adenosine		0.237		3508		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.35		3508		7/20/2016										
F2	Citric Acid		0.518		3508		7/20/2016										
F3	M-Inositol		0.33		3508		7/20/2016										
F4	D-Threonine		0.494		3508		7/20/2016										
F5	Fumaric Acid		0.378		3508		7/20/2016										
F6	Bromo Succinic Acid		0.318		3508		7/20/2016										
F7	Propionic Acid		0.539		3508		7/20/2016										
F8	Mucic Acid		0.243		3508		7/20/2016										
F9	Glycolic Acid		0.348		3508		7/20/2016										
F10	Glyoxylic Acid		0.498		3508		7/20/2016										
F11	D-Cellobiose		0.372		3508		7/20/2016										
F12	Inosine		0.257		3508		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.356		3508		7/20/2016										
G2	Tricarballylic Acid		0.393		3508		7/20/2016										
G3	L-Serine		0.513		3508		7/20/2016										
G4	L-Threonine		0.516		3508		7/20/2016										
G5	L-Alanine		0.387		3508		7/20/2016										
G6	L-Alanyl-Glycine		0.232		3508		7/20/2016										
G7	Acetoacetic Acid		0.36		3508		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.356		3508		7/20/2016										
G9	Mono Methyl Succinate		0.398		3508		7/20/2016										
G10	Methyl Pyruvate		0.255		3508		7/20/2016										
G11	D-Malic Acid		0.444		3508		7/20/2016										
G12	L-Malic Acid		0.373		3508		7/20/2016										
H1	Glycil-L-Proline		0.302		3508		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.345		3508		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.381		3508		7/20/2016										
H4	Tyramine		0.527		3508		7/20/2016										
H5	D-Psicose		0.345		3508		7/20/2016										
H6	L-Lyxose		0.444		3508		7/20/2016										
H7	Glucuronamide		0.312		3508		7/20/2016										
H8	Pyruvic Acid		0.377		3508		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.362		3508		7/20/2016										
H10	D-Galacturonic Acid		0.422		3508		7/20/2016										
H11	Phenylethyl-amine		0.54		3508		7/20/2016										
H12	2-Aminoethanol		0.518		3508		7/20/2016										
A1	Negative Control		0.405		3508		7/20/2016										
A2	Chondroitin Sulfate C		0.518		3508		7/20/2016										
A3	a-Cyclodextrin		0.557		3508		7/20/2016										
A4	b-Cyclodextrin		0.454		3508		7/20/2016										
A5	g-Cyclodextrin		0.389		3508		7/20/2016										
A6	Dextrin		0.198		3508		7/20/2016										
A7	Gelatin		0.337		3508		7/20/2016										
A8	Glycogen		0.281		3508		7/20/2016										
A9	Inulin		0.349		3508		7/20/2016										
A10	Laminarin		0.317		3508		7/20/2016										
A11	Mannan		0.245		3508		7/20/2016										
A12	Pectin		0.311		3508		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.422		3508		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.486		3508		7/20/2016										
B3	b-D-Allose		0.559		3508		7/20/2016										
B4	Amygdalin		0.397		3508		7/20/2016										
B5	D-Arabinose		0.482		3508		7/20/2016										
B6	D-Arabitol		0.551		3508		7/20/2016										
B7	L-Arabitol		0.401		3508		7/20/2016										
B8	Arbutin		0.404		3508		7/20/2016										
B9	2-Deoxy-D-Ribose		0.358		3508		7/20/2016										
B10	I-Erythritol		0.4		3508		7/20/2016										
B11	D-Fucose		0.499		3508		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.232		3508		7/20/2016										
C1	Gentiobiose		0.419		3508		7/20/2016										
C2	L-Glucose		0.494		3508		7/20/2016										
C3	Lactitol		0.414		3508		7/20/2016										
C4	D-Melezitose		0.42		3508		7/20/2016										
C5	Maltitol		0.414		3508		7/20/2016										
C6	a-Methyl-D-Glucoside		0.412		3508		7/20/2016										
C7	b-Methyl-D-Gactoside		0.389		3508		7/20/2016										
C8	3-Methyl-Glucose		0.314		3508		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.385		3508		7/20/2016										
C10	a-Methyl-D-Mannoside		0.398		3508		7/20/2016										
C11	b-Methyl-D-Xyloside		0.429		3508		7/20/2016										
C12	Palatinose		0.432		3508		7/20/2016										
D1	D-Raffinose		0.414		3508		7/20/2016										
D2	Salicin		0.402		3508		7/20/2016										
D3	Sedoheptulosa		0.396		3508		7/20/2016										
D4	L-Sorbose		0.423		3508		7/20/2016										
D5	Stachyose		0.398		3508		7/20/2016										
D6	D-Tagatose		0.418		3508		7/20/2016										
D7	Turanose		0.382		3508		7/20/2016										
D8	Xylitol		0.398		3508		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.332		3508		7/20/2016										
D10	g-Amino Butyric Acid		0.389		3508		7/20/2016										
D11	d-Amino Valeric Acid		0.362		3508		7/20/2016										
D12	Butyric Acid		0.52		3508		7/20/2016										
E1	Capric Acid		0.438		3508		7/20/2016										
E2	Caproic Acid		0.44		3508		7/20/2016										
E3	Citraconic Acid		0.618		3508		7/20/2016										
E4	Citramalic Acid		0.486		3508		7/20/2016										
E5	D-Glucosamine		0.345		3508		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.536		3508		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.336		3508		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.487		3508		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.471		3508		7/20/2016										
E10	a-Keto Valeric Acid		0.442		3508		7/20/2016										
E11	Itaconic Acid		0.561		3508		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.376		3508		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.429		3508		7/20/2016										
F2	Malonic Acid		0.506		3508		7/20/2016										
F3	Melibionic Acid		0.167		3508		7/20/2016										
F4	Oxalic Acid		0.31		3508		7/20/2016										
F5	Oxalomalic Acid		0.42		3508		7/20/2016										
F6	Quinic Acid		0.419		3508		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.36		3508		7/20/2016										
F8	Sebacic Acid		0.343		3508		7/20/2016										
F9	Sorbic Acid		0.402		3508		7/20/2016										
F10	Succinamic Acid		0.3		3508		7/20/2016										
F11	D-Tartaric Acid		0.64		3508		7/20/2016										
F12	L-Tartaric Acid		0.463		3508		7/20/2016										
G1	Acetamide		0.409		3508		7/20/2016										
G2	L-Alaninamide		0.413		3508		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.444		3508		7/20/2016										
G4	L-Arginine		0.609		3508		7/20/2016										
G5	Glycine		0.395		3508		7/20/2016										
G6	L-Histidine		0.467		3508		7/20/2016										
G7	L-Homoserine		0.14		3508		7/20/2016										
G8	Hydroxy-L-Proline		0.52		3508		7/20/2016										
G9	L-Isoleucine		0.65		3508		7/20/2016										
G10	L-Leucine		0.4		3508		7/20/2016										
G11	L-Lysine		0.605		3508		7/20/2016										
G12	L-Methionine		0.494		3508		7/20/2016										
H1	L-Ornithine		0.68		3508		7/20/2016										
H2	Phenylalanine		0.42		3508		7/20/2016										
H3	L-Pyroglutamic Acid		0.448		3508		7/20/2016										
H4	L-Valine		0.46		3508		7/20/2016										
H5	"D,L-Carnitine"		0.448		3508		7/20/2016										
H6	Sec-Butylamine		0.487		3508		7/20/2016										
H7	"D,L-Octopamine"		0.418		3508		7/20/2016										
H8	Putrescine		0.442		3508		7/20/2016										
H9	Dihydroxy Acetone		0.433		3508		7/20/2016										
H10	"2,3-Butanediol"		0.422		3508		7/20/2016										
H11	"2,3-Butanone"		0.335		3508		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.432		3508		7/20/2016										
A1	Negative Control		0.335		4307		7/20/2016										
A2	L-Arabinose		0.492		4307		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.229		4307		7/20/2016										
A4	D-Saccharic Acid		0.491		4307		7/20/2016										
A5	Succinic Acid		0.397		4307		7/20/2016										
A6	D-Galactose		0.467		4307		7/20/2016										
A7	L-Aspartic Acid		0.533		4307		7/20/2016										
A8	L-Proline		0.422		4307		7/20/2016										
A9	D-Alanine		0.43		4307		7/20/2016										
A10	D-Trehalose		0.424		4307		7/20/2016										
A11	D-Mannose		0.553		4307		7/20/2016										
A12	Dulcitol		0.396		4307		7/20/2016										
B1	D-Serine		0.503		4307		7/20/2016										
B2	D-Sorbitol		0.381		4307		7/20/2016										
B3	Glycerol		0.363		4307		7/20/2016										
B4	L-Fucose		0.371		4307		7/20/2016										
B5	D-Glucuronic Acid		0.358		4307		7/20/2016										
B6	D-Gluconic Acid		0.541		4307		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.33		4307		7/20/2016										
B8	D-Xylose		0.553		4307		7/20/2016										
B9	L-Lactic Acid		0.443		4307		7/20/2016										
B10	Formic Acid		0.437		4307		7/20/2016										
B11	D-Mannitol		0.617		4307		7/20/2016										
B12	L-Glutamic Acid		0.495		4307		7/20/2016										
C1	D-Glucose-6-Phosphate		0.472		4307		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.48		4307		7/20/2016										
C3	"D,L-Malic Acid"		0.414		4307		7/20/2016										
C4	D-Ribose		0.5		4307		7/20/2016										
C5	Tween 20		0.027		4307		7/20/2016										
C6	L-Rhamnose		0.371		4307		7/20/2016										
C7	D-Fructose		0.422		4307		7/20/2016										
C8	Acetic Acid		0.456		4307		7/20/2016										
C9	a-D-Glucose		0.503		4307		7/20/2016										
C10	Maltose		0.35		4307		7/20/2016										
C11	D-Melibiose		0.351		4307		7/20/2016										
C12	Thymidine		0.411		4307		7/20/2016										
D1	L-Asparagine		0.419		4307		7/20/2016										
D2	D-Aspartic Acid		0.42		4307		7/20/2016										
D3	D-Glucosaminic Acid		0.537		4307		7/20/2016										
D4	"1,2-Propanediol"		0.341		4307		7/20/2016										
D5	Tween 40		0.265		4307		7/20/2016										
D6	a-Keto-Glutaric Acid		0.355		4307		7/20/2016										
D7	a-Keto-Butyric Acid		0.536		4307		7/20/2016										
D8	a-Methyl-D-Galactoside		0.335		4307		7/20/2016										
D9	a-D-Lactose		0.312		4307		7/20/2016										
D10	Lactulose		0.339		4307		7/20/2016										
D11	Sucrose		0.357		4307		7/20/2016										
D12	Uridine		0.249		4307		7/20/2016										
E1	L-Glutamine		0.423		4307		7/20/2016										
E2	M-Tartaric Acid		0.648		4307		7/20/2016										
E3	D-Glucose-1-Phosphate		0.366		4307		7/20/2016										
E4	D-Fructose-6-Phosphate		0.354		4307		7/20/2016										
E5	Tween 80		0.016		4307		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.308		4307		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.607		4307		7/20/2016										
E8	b-Methyl-D-Glucoside		0.35		4307		7/20/2016										
E9	Adonitol		0.382		4307		7/20/2016										
E10	Maltotriose		0.349		4307		7/20/2016										
E11	2-Deoxy Adenosine		0.324		4307		7/20/2016										
E12	Adenosine		0.237		4307		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.332		4307		7/20/2016										
F2	Citric Acid		0.503		4307		7/20/2016										
F3	M-Inositol		0.341		4307		7/20/2016										
F4	D-Threonine		0.533		4307		7/20/2016										
F5	Fumaric Acid		0.399		4307		7/20/2016										
F6	Bromo Succinic Acid		0.318		4307		7/20/2016										
F7	Propionic Acid		0.597		4307		7/20/2016										
F8	Mucic Acid		0.248		4307		7/20/2016										
F9	Glycolic Acid		0.339		4307		7/20/2016										
F10	Glyoxylic Acid		0.418		4307		7/20/2016										
F11	D-Cellobiose		0.348		4307		7/20/2016										
F12	Inosine		0.253		4307		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.339		4307		7/20/2016										
G2	Tricarballylic Acid		0.352		4307		7/20/2016										
G3	L-Serine		0.507		4307		7/20/2016										
G4	L-Threonine		0.538		4307		7/20/2016										
G5	L-Alanine		0.411		4307		7/20/2016										
G6	L-Alanyl-Glycine		0.253		4307		7/20/2016										
G7	Acetoacetic Acid		0.359		4307		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.326		4307		7/20/2016										
G9	Mono Methyl Succinate		0.367		4307		7/20/2016										
G10	Methyl Pyruvate		0.224		4307		7/20/2016										
G11	D-Malic Acid		0.475		4307		7/20/2016										
G12	L-Malic Acid		0.416		4307		7/20/2016										
H1	Glycil-L-Proline		0.283		4307		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.325		4307		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.372		4307		7/20/2016										
H4	Tyramine		0.53		4307		7/20/2016										
H5	D-Psicose		0.374		4307		7/20/2016										
H6	L-Lyxose		0.475		4307		7/20/2016										
H7	Glucuronamide		0.321		4307		7/20/2016										
H8	Pyruvic Acid		0.349		4307		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.381		4307		7/20/2016										
H10	D-Galacturonic Acid		0.419		4307		7/20/2016										
H11	Phenylethyl-amine		0.533		4307		7/20/2016										
H12	2-Aminoethanol		0.465		4307		7/20/2016										
A1	Negative Control		0.395		4307		7/20/2016										
A2	Chondroitin Sulfate C		0.481		4307		7/20/2016										
A3	a-Cyclodextrin		0.48		4307		7/20/2016										
A4	b-Cyclodextrin		0.407		4307		7/20/2016										
A5	g-Cyclodextrin		0.361		4307		7/20/2016										
A6	Dextrin		0.178		4307		7/20/2016										
A7	Gelatin		0.363		4307		7/20/2016										
A8	Glycogen		0.255		4307		7/20/2016										
A9	Inulin		0.321		4307		7/20/2016										
A10	Laminarin		0.306		4307		7/20/2016										
A11	Mannan		0.219		4307		7/20/2016										
A12	Pectin		0.329		4307		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.381		4307		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.42		4307		7/20/2016										
B3	b-D-Allose		0.472		4307		7/20/2016										
B4	Amygdalin		0.357		4307		7/20/2016										
B5	D-Arabinose		0.46		4307		7/20/2016										
B6	D-Arabitol		0.544		4307		7/20/2016										
B7	L-Arabitol		0.394		4307		7/20/2016										
B8	Arbutin		0.373		4307		7/20/2016										
B9	2-Deoxy-D-Ribose		0.332		4307		7/20/2016										
B10	I-Erythritol		0.37		4307		7/20/2016										
B11	D-Fucose		0.461		4307		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.233		4307		7/20/2016										
C1	Gentiobiose		0.394		4307		7/20/2016										
C2	L-Glucose		0.458		4307		7/20/2016										
C3	Lactitol		0.369		4307		7/20/2016										
C4	D-Melezitose		0.372		4307		7/20/2016										
C5	Maltitol		0.366		4307		7/20/2016										
C6	a-Methyl-D-Glucoside		0.358		4307		7/20/2016										
C7	b-Methyl-D-Gactoside		0.371		4307		7/20/2016										
C8	3-Methyl-Glucose		0.255		4307		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.368		4307		7/20/2016										
C10	a-Methyl-D-Mannoside		0.367		4307		7/20/2016										
C11	b-Methyl-D-Xyloside		0.411		4307		7/20/2016										
C12	Palatinose		0.4		4307		7/20/2016										
D1	D-Raffinose		0.39		4307		7/20/2016										
D2	Salicin		0.33		4307		7/20/2016										
D3	Sedoheptulosa		0.361		4307		7/20/2016										
D4	L-Sorbose		0.396		4307		7/20/2016										
D5	Stachyose		0.355		4307		7/20/2016										
D6	D-Tagatose		0.39		4307		7/20/2016										
D7	Turanose		0.383		4307		7/20/2016										
D8	Xylitol		0.341		4307		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.32		4307		7/20/2016										
D10	g-Amino Butyric Acid		0.392		4307		7/20/2016										
D11	d-Amino Valeric Acid		0.36		4307		7/20/2016										
D12	Butyric Acid		0.569		4307		7/20/2016										
E1	Capric Acid		0.451		4307		7/20/2016										
E2	Caproic Acid		0.376		4307		7/20/2016										
E3	Citraconic Acid		0.626		4307		7/20/2016										
E4	Citramalic Acid		0.458		4307		7/20/2016										
E5	D-Glucosamine		0.304		4307		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.497		4307		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.311		4307		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.463		4307		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.456		4307		7/20/2016										
E10	a-Keto Valeric Acid		0.43		4307		7/20/2016										
E11	Itaconic Acid		0.511		4307		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.396		4307		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.402		4307		7/20/2016										
F2	Malonic Acid		0.464		4307		7/20/2016										
F3	Melibionic Acid		0.155		4307		7/20/2016										
F4	Oxalic Acid		0.287		4307		7/20/2016										
F5	Oxalomalic Acid		0.419		4307		7/20/2016										
F6	Quinic Acid		0.388		4307		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.334		4307		7/20/2016										
F8	Sebacic Acid		0.299		4307		7/20/2016										
F9	Sorbic Acid		0.424		4307		7/20/2016										
F10	Succinamic Acid		0.293		4307		7/20/2016										
F11	D-Tartaric Acid		0.533		4307		7/20/2016										
F12	L-Tartaric Acid		0.452		4307		7/20/2016										
G1	Acetamide		0.39		4307		7/20/2016										
G2	L-Alaninamide		0.342		4307		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.404		4307		7/20/2016										
G4	L-Arginine		0.583		4307		7/20/2016										
G5	Glycine		0.43		4307		7/20/2016										
G6	L-Histidine		0.498		4307		7/20/2016										
G7	L-Homoserine		0.193		4307		7/20/2016										
G8	Hydroxy-L-Proline		0.53		4307		7/20/2016										
G9	L-Isoleucine		0.645		4307		7/20/2016										
G10	L-Leucine		0.388		4307		7/20/2016										
G11	L-Lysine		0.585		4307		7/20/2016										
G12	L-Methionine		0.474		4307		7/20/2016										
H1	L-Ornithine		0.6		4307		7/20/2016										
H2	Phenylalanine		0.393		4307		7/20/2016										
H3	L-Pyroglutamic Acid		0.455		4307		7/20/2016										
H4	L-Valine		0.417		4307		7/20/2016										
H5	"D,L-Carnitine"		0.434		4307		7/20/2016										
H6	Sec-Butylamine		0.488		4307		7/20/2016										
H7	"D,L-Octopamine"		0.429		4307		7/20/2016										
H8	Putrescine		0.453		4307		7/20/2016										
H9	Dihydroxy Acetone		0.458		4307		7/20/2016										
H10	"2,3-Butanediol"		0.424		4307		7/20/2016										
H11	"2,3-Butanone"		0.342		4307		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.383		4307		7/20/2016										
A1	Negative Control		0.32		4551		7/20/2016										
A2	L-Arabinose		0.51		4551		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.233		4551		7/20/2016										
A4	D-Saccharic Acid		0.479		4551		7/20/2016										
A5	Succinic Acid		0.379		4551		7/20/2016										
A6	D-Galactose		0.444		4551		7/20/2016										
A7	L-Aspartic Acid		0.494		4551		7/20/2016										
A8	L-Proline		0.387		4551		7/20/2016										
A9	D-Alanine		0.336		4551		7/20/2016										
A10	D-Trehalose		0.333		4551		7/20/2016										
A11	D-Mannose		0.514		4551		7/20/2016										
A12	Dulcitol		0.306		4551		7/20/2016										
B1	D-Serine		0.395		4551		7/20/2016										
B2	D-Sorbitol		0.326		4551		7/20/2016										
B3	Glycerol		0.316		4551		7/20/2016										
B4	L-Fucose		0.334		4551		7/20/2016										
B5	D-Glucuronic Acid		0.313		4551		7/20/2016										
B6	D-Gluconic Acid		0.483		4551		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.299		4551		7/20/2016										
B8	D-Xylose		0.539		4551		7/20/2016										
B9	L-Lactic Acid		0.358		4551		7/20/2016										
B10	Formic Acid		0.424		4551		7/20/2016										
B11	D-Mannitol		0.563		4551		7/20/2016										
B12	L-Glutamic Acid		0.509		4551		7/20/2016										
C1	D-Glucose-6-Phosphate		0.417		4551		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.455		4551		7/20/2016										
C3	"D,L-Malic Acid"		0.383		4551		7/20/2016										
C4	D-Ribose		0.44		4551		7/20/2016										
C5	Tween 20		0.026		4551		7/20/2016										
C6	L-Rhamnose		0.355		4551		7/20/2016										
C7	D-Fructose		0.371		4551		7/20/2016										
